,과 목,제 9 기말,제 8 기말,제 7 기말,제9기(2019.1.1-2019.12.31),제8기(2018.1.1-2018.12.31),제7기(2017.1.1-2017.12.31),제 9 기,제 8 기,제 7 기
62,XIII. 법인세비용,nan0,nan0,nan0,"(194,427,963,793)","(180,496,971,326)","(132,785,897,405)",nan,nan,nan
63,XIV. 당기순이익,nan0,nan0,nan0,598946530179,538140848972,424964047023,nan,nan,nan
64,1. 지배기업지분순이익,nan0,nan0,nan0,562224650247,502094859921,403100234100,nan,nan,nan
65,2. 비지배지분순이익,nan0,nan0,nan0,36721879932,36045989051,21863812923,nan,nan,nan
66,XV. 기타포괄손익,nan0,nan0,nan0,18609810606,19264011769,"(38,246,954,450)",nan,nan,nan
67,1. 후속적으로 당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0,"(5,035,127,455)","(16,342,912,266)","(17,929,163,222)",nan,nan,nan
68,1) 확정급여제도 재측정요소,nan0,nan0,nan0,"(12,119,090,786)","(29,780,054,255)","(17,929,163,222)",nan,nan,nan
69,2) 기타포괄손익-공정가치채무상품평가손익,nan0,nan0,nan0,7083963331,13437141989,-,nan,nan,nan
70,2. 후속적으로 당기손익으로 재분류될 수 있는 항목,nan0,nan0,nan0,23644938061,35606924035,"(20,317,791,228)",nan,nan,nan
71,1) 기타포괄손익-공정가치채무상품평가손익,nan0,nan0,nan0,20084597545,37139236490,-,nan,nan,nan
72,2) 매도가능금융자산평가손익,nan0,nan0,nan0,-,-,"(15,922,772,966)",nan,nan,nan
73,3) 해외사업환산손익,nan0,nan0,nan0,5837420823,1614896853,"(13,665,481,863)",nan,nan,nan
74,4) 해외영업순투자위험회피평가손익,nan0,nan0,nan0,"(2,560,326,169)","(3,092,941,000)",9270463601,nan,nan,nan
75,5) 지분법 자본변동,nan0,nan0,nan0,"(34,423,778)",-,-,nan,nan,nan
76,6) 기타포괄손익-공정가치채무증권대손상각비,nan0,nan0,nan0,317669640,"(54,268,308)",-,nan,nan,nan
77,XVI. 당기총포괄이익,nan0,nan0,nan0,617556340785,557404860741,386717092573,nan,nan,nan
78,1. 지배기업지분총포괄이익,nan0,nan0,nan0,580834460853,521358871690,364853279650,nan,nan,nan
79,2. 비지배지분총포괄이익,nan0,nan0,nan0,36721879932,36045989051,21863812923,nan,nan,nan
80,XVII. 주당이익,nan0,nan0,nan0,nan,nan,-,nan,nan,nan
81,1.기본 및 희석주당순이익,nan0,nan0,nan0,1647,1475,1200,nan,nan,nan
82,Ⅰ.영업활동으로 인한 현금흐름,nan0,nan0,nan0,nan,nan,nan,"(488,631,995,834)",354436107335,1530250471022
83,1. 당기순이익,nan0,nan0,nan0,nan,nan,nan,598946530179,538140848972,424964047023
84,2. 조정사항,nan0,nan0,nan0,nan,nan,nan,"(1,223,306,245,522)","(1,337,615,745,958)","(1,363,825,843,997)"
85,이자수익,nan0,nan0,nan0,nan,nan,nan,"(3,629,260,871,613)","(3,628,802,880,198)","(3,353,377,247,296)"
86,이자비용,nan0,nan0,nan0,nan,nan,nan,1442486787247,1285261910809,1072755875533
87,당기손익-공정가치금융자산관련순손익,nan0,nan0,nan0,nan,nan,nan,"(31,905,205,878)",5047575700,"(15,013,894,084)"
88,기타포괄손익-공정가치금융자산관련손익,nan0,nan0,nan0,nan,nan,nan,"(18,326,916,748)","(14,122,117,698)",-
89,매도가능금융자산관련순손익,nan0,nan0,nan0,nan,nan,nan,-,-,"(38,224,989,205)"
90,상각후원가금융자산관련손익,nan0,nan0,nan0,nan,nan,nan,309501320,21351289,-
91,신용손실충당금전입액,nan0,nan0,nan0,nan,nan,nan,423693098086,502247847694,549025525828
92,외화환산손익,nan0,nan0,nan0,nan,nan,nan,"(5,304,801,432)","(2,318,837,202)","(25,477,933,053)"
93,파생상품평가손익,nan0,nan0,nan0,nan,nan,nan,"(22,919,396,347)","(8,042,530,335)",11557363960
94,감가상각비,nan0,nan0,nan0,nan,nan,nan,96503730478,64240269930,62203521932
95,무형자산상각비,nan0,nan0,nan0,nan,nan,nan,73652216690,74047019267,75078506160
96,퇴직급여,nan0,nan0,nan0,nan,nan,nan,64738104446,58065576296,51878542133
97,기타영업손익,nan0,nan0,nan0,nan,nan,nan,204157304578,147065063506,109206671848
98,관계기업투자주식관련순손익,nan0,nan0,nan0,nan,nan,nan,"(14,738,148,015)","(5,680,339,037)",152189851
99,유무형자산 관련 순손익,nan0,nan0,nan0,nan,nan,nan,"(819,612,127)",4857372695,3624124991
100,법인세비용,nan0,nan0,nan0,nan,nan,nan,194427963793,180496971326,132785897405
101,3. 영업활동 관련 자산 부채의 변동,nan0,nan0,nan0,nan,nan,nan,"(2,036,919,550,030)","(1,179,941,097,115)",223917109888
102,예치금,nan0,nan0,nan0,nan,nan,nan,"(931,072,618,439)",60261901763,426468002219
103,당기손익-공정가치금융자산,nan0,nan0,nan0,nan,nan,nan,"(605,428,294,325)","(1,004,131,949,433)",283214770398
104,대출채권및수취채권,nan0,nan0,nan0,nan,nan,nan,"(3,427,461,535,244)","(3,115,982,624,818)","(1,950,860,199,907)"
105,파생금융상품,nan0,nan0,nan0,nan,nan,nan,2599808564,"(1,207,395,593)",27987056827
106,기타자산,nan0,nan0,nan0,nan,nan,nan,"(502,868,902,854)","(420,324,797,010)","(170,163,991,944)"
107,예수부채,nan0,nan0,nan0,nan,nan,nan,3236407388454,3550906195848,2298832122056
108,충당부채,nan0,nan0,nan0,nan,nan,nan,"(82,997,925)","(538,541,410)","(314,856,205)"
109,기타부채,nan0,nan0,nan0,nan,nan,nan,258895472135,"(190,951,112,875)","(637,353,846,802)"
110,확정급여채무,nan0,nan0,nan0,nan,nan,nan,"(31,205,478,580)","(23,211,734,571)","(27,521,700,975)"
111,사외적립자산,nan0,nan0,nan0,nan,nan,nan,"(36,702,391,816)","(34,761,039,016)","(26,370,245,779)"
112,4. 이자수익의 수취,nan0,nan0,nan0,nan,nan,nan,3702382490136,3657797441656,3393994900410
113,5. 배당금의 수취,nan0,nan0,nan0,nan,nan,nan,10978189062,7704407579,33443713535
114,6. 이자비용의 지급,nan0,nan0,nan0,nan,nan,nan,"(1,426,206,337,077)","(1,206,922,509,363)","(998,334,619,528)"
115,7. 법인세의 납부,nan0,nan0,nan0,nan,nan,nan,"(114,507,072,582)","(124,727,238,436)","(183,908,836,309)"
116,Ⅱ.투자활동으로 인한 현금흐름,nan0,nan0,nan0,nan,nan,nan,"(852,856,944,356)","(853,811,627,398)","(427,306,520,699)"
117,1. 당기손익-공정가치금융자산 처분,nan0,nan0,nan0,nan,nan,nan,7714911266366,1682482194974,-
118,2. 당기손익-공정가치금융자산 취득,nan0,nan0,nan0,nan,nan,nan,"(7,492,297,680,430)","(1,831,784,406,371)",-
119,3. 기타포괄손익-공정가치금융자산 처분,nan0,nan0,nan0,nan,nan,nan,3071686021756,2319178470985,-
120,4. 기타포괄손익-공정가치금융자산 취득,nan0,nan0,nan0,nan,nan,nan,"(3,239,632,418,037)","(2,384,139,418,548)",-
121,5. 매도가능금융자산 처분,nan0,nan0,nan0,nan,nan,nan,-,-,3439326964324
122,6. 매도가능금융자산 취득,nan0,nan0,nan0,nan,nan,nan,-,-,"(3,171,588,176,777)"
123,7. 상각후원가금융자산 처분,nan0,nan0,nan0,nan,nan,nan,1215451560335,1528609180700,-
124,8. 상각후원가금융자산 취득,nan0,nan0,nan0,nan,nan,nan,"(1,934,463,233,580)","(1,641,046,672,687)",-
125,9. 만기보유금융자산 처분,nan0,nan0,nan0,nan,nan,nan,-,-,1163333794401
126,10. 만기보유금융자산 취득,nan0,nan0,nan0,nan,nan,nan,-,-,"(1,638,449,308,248)"
127,11. 관계기업투자주식 처분,nan0,nan0,nan0,nan,nan,nan,236748089839,141511490662,75455818410
128,12. 관계기업투자주식 취득,nan0,nan0,nan0,nan,nan,nan,"(263,475,217,366)","(532,500,000,000)","(90,403,150,000)"
129,13. 유형자산 처분,nan0,nan0,nan0,nan,nan,nan,4535289936,8225313170,4189094309
130,14. 유형자산 취득,nan0,nan0,nan0,nan,nan,nan,"(109,240,075,375)","(125,329,640,300)","(151,337,245,365)"
131,15. 무형자산 처분,nan0,nan0,nan0,nan,nan,nan,73176890,3018336883,456669440
132,16. 무형자산 취득,nan0,nan0,nan0,nan,nan,nan,"(58,835,353,895)","(30,504,020,942)","(57,780,538,681)"
133,17. 사업결합으로 인한 순현금흐름,nan0,nan0,nan0,nan,nan,nan,"(7,599,724,503)",-,-
134,18. 임차보증금의 증감 등,nan0,nan0,nan0,nan,nan,nan,9281353708,8467544076,"(510,442,512)"
135,Ⅲ.재무활동으로 인한 현금흐름,nan0,nan0,nan0,nan,nan,nan,1339465761628,636379667133,"(931,953,074,152)"
136,1. 차입부채의 증가,nan0,nan0,nan0,nan,nan,nan,28610798280301,37018128495998,42030954427043
137,2. 차입부채의 감소,nan0,nan0,nan0,nan,nan,nan,"(29,222,526,787,091)","(36,420,487,668,853)","(43,232,016,177,532)"
138,3. 사채의 발행,nan0,nan0,nan0,nan,nan,nan,3859754441608,2687661279529,2982579104600
139,4. 사채의 상환,nan0,nan0,nan0,nan,nan,nan,"(2,300,000,000,000)","(2,917,368,000,000)","(2,895,620,000,000)"
140,5. 리스부채의 지급,nan0,nan0,nan0,nan,nan,nan,"(28,657,917,376)",-,-
141,6. 보통주배당금의 지급,nan0,nan0,nan0,nan,nan,nan,"(97,776,117,300)","(74,961,689,930)","(74,961,689,930)"
142,7. 신종자본증권의 발행,nan0,nan0,nan0,nan,nan,nan,199352949000,249244360000,-
143,8. 신종자본증권분배금의 지급,nan0,nan0,nan0,nan,nan,nan,"(26,755,000,000)","(20,953,712,328)","(11,930,000,000)"
144,9. 비지배지분의 증감,nan0,nan0,nan0,nan,nan,nan,63571687024,164192010000,277408176667
145,10. 기타,nan0,nan0,nan0,nan,nan,nan,281704225462,"(49,075,407,283)","(8,366,915,000)"
146,Ⅳ.현금및현금성자산의 증감(I+II+III),nan0,nan0,nan0,nan,nan,nan,"(2,023,178,562)",137004147070,170990876171
147,Ⅴ.기초의 현금및현금성자산,nan0,nan0,nan0,nan,nan,nan,1145630527768,1014578271874,858611917771
148,Ⅵ.외화표시 현금및현금성자산의 환율변동효과,nan0,nan0,nan0,nan,nan,nan,6686433981,"(5,951,891,176)","(15,024,522,068)"
149,Ⅶ.기말의 현금및현금성자산,nan0,nan0,nan0,nan,nan,nan,1150293783187,1145630527768,1014578271874
