,과 목,주 석,제 14(당)기,제 13(전)기,주석
72,(2) 비지배지분총포괄이익,nan0,535502840,359687940,nan
73,XI. 주당이익,nan0,nan0,nan0,nan
74,1. 기본 및 희석주당이익,nan0,nan0,nan0,nan
75,(1) 보통주,340,55470,40900,nan
76,(2) 1종 종류주식,340,56090,41520,nan
77,I. 영업활동으로 인한 현금흐름,nan0,321422104590,"(521,329,218,661)0",nan
78,1. 당기순이익,nan0,3243485140780,2392349444220,nan
79,2. 손익조정사항,nan0,"(286,591,937,030)0","(231,097,293,689)0",35
80,3. 영업활동으로 인한 자산부채의 증감,nan0,"(427,228,471,393)0","(863,314,073,296)0",35
81,4. 이자수취,nan0,6921469477190,6539669651580,nan
82,5. 이자지급,nan0,"(245,739,135,080)0","(333,953,868,087)0",nan
83,6. 배당금수취,nan0,212268324900,395449866490,nan
84,7. 법인세 환급(납부)액,nan0,"(46,020,540,325)0","(25,710,879,818)0",nan
85,II. 투자활동으로 인한 현금흐름,nan0,"(1,145,861,179,112)0","(105,520,068,024)0",nan
86,1. 매도가능금융자산의 취득,nan0,"(1,348,816,450,565)0","(155,346,704,660)0",nan
87,2. 매도가능금융자산의 처분,nan0,2300981797030,1134300493020,nan
88,3. 관계회사투자의 취득,nan0,"(81,169,773,038)0","(49,568,362,583)0",8
89,4. 관계회사투자의 처분,nan0,192188366960,203066117830,"8, 32"
90,5. 지배력획득을 위하여 지급한 순현금,nan0,-0,"(22,947,439,349)0",nan
91,6. 유형자산의 취득,nan0,"(17,761,724,905)0","(13,715,733,403)0",10
92,7. 유형자산의 처분,nan0,46625300460,13630782130,"10, 32"
93,8. 무형자산의 취득,nan0,"(7,962,122,450)0","(6,227,160,618)0",11
94,9. 무형자산의 처분,nan0,17078825960,15390787220,"11, 32"
95,10. 투자부동산의 처분,nan0,26073941380,39493771800,"12, 32"
96,11. 대여금의 증감,nan0,419546928300,4774062060,nan
97,12. 보증금의 증감,nan0,95993758370,12197311830,nan
98,III. 재무활동으로 인한 현금흐름,nan0,11282310897520,7926827319810,nan
99,1. 차입부채의 증감,nan0,11750927180200,7265454125670,nan
100,2. 배당금의 지급,nan0,"(41,225,716,864)0","(12,027,334,885)0",nan
101,3. 비지배주주지분(부채)의 증감,nan0,"(5,635,911,404)0",852454837440,nan
102,4. 종속회사주식 추가 취득,nan0,-0,"(5,280,467,732)0",nan
103,5. 종속기업의 원금배분,nan0,-0,"(1,800,361,713)0",nan
104,IV. 현금및현금성자산의 환율변동효과,nan0,6325657040,275517888790,nan
105,V. 현금및현금성자산 증가(감소) (= I + II + III + IV),nan0,151446868030,1933852341750,nan
106,VI. 기초 현금및현금성자산,nan0,6847790076490,4913937734740,"4, 35"
107,VII. 기말 현금및현금성자산,nan0,6999236944520,6847790076490,"4, 35"
