,과 목,제49기 연간,제48기,제47기,과목,제 75 기 2015년 8월 31일,제 74 기2014년 12월 31일,제 73 기2013년 12월 31일,Unnamed: 0,제 75 기 2015년1월1일~2015년8월31일까지,제 74 기2014년1월1일~2014년12월31일까지,제 73 기2013년1월1일~2013년12월31일까지
148,nan,nan000000,nan000000,nan000000,3. 기타영업외비용,nan,nan,nan,nan,-31026.0,-74639.0,-52944.0
149,nan,nan000000,nan000000,nan000000,XV. 법인세비용차감전순이익,nan,nan,nan,nan,817782.0,1093008.0,874915.0
150,nan,nan000000,nan000000,nan000000,XVI. 법인세비용,nan,nan,nan,nan,-176465.0,-236589.0,-166175.0
151,nan,nan000000,nan000000,nan000000,XVII. 연결당기순이익,nan,nan,nan,nan,641317.0,856419.0,708740.0
152,nan,nan000000,nan000000,nan000000,XVIII. 연결기타포괄손익,nan,nan,nan,nan,-87910.0,182325.0,-196534.0
153,nan,nan000000,nan000000,nan000000,1. 당기손익으로 재분류되지 않는 항목,nan,nan,nan,nan,-16434.0,-43946.0,-31194.0
154,nan,nan000000,nan000000,nan000000,확정급여제도의 재측정요소,nan,nan,nan,nan,-16434.0,-43946.0,-31194.0
155,nan,nan000000,nan000000,nan000000,2. 후속적으로 당기손익으로 재분류되는 항목,nan,nan,nan,nan,-71476.0,226271.0,-165340.0
156,nan,nan000000,nan000000,nan000000,매도가능금융자산평가손익,nan,nan,nan,nan,-119481.0,186430.0,-134600.0
157,nan,nan000000,nan000000,nan000000,해외사업장환산외환차이,nan,nan,nan,nan,45523.0,47073.0,-28164.0
158,nan,nan000000,nan000000,nan000000,지분법자본변동,nan,nan,nan,nan,6307.0,-7232.0,-2576.0
159,nan,nan000000,nan000000,nan000000,해외사업장순투자위험회피평가손익,nan,nan,nan,nan,-3825.0,nan,nan
160,nan,nan000000,nan000000,nan000000,XIX. 연결당기총포괄이익,nan,nan,nan,nan,553407.0,1038744.0,512206.0
161,nan,nan000000,nan000000,nan000000,지배지분당기총포괄이익,nan,nan,nan,nan,530145.0,1036869.0,516973.0
162,nan,nan000000,nan000000,nan000000,비지배지분당기총포괄이익,nan,nan,nan,nan,23262.0,1875.0,-4767.0
