,Unnamed: 0,제 50 기말,제 49 기말,제 48 기말,제 50 기,제 49 기,제 48 기
92,중단영업이익(손실),nan000000,nan000000,nan000000,"(319,640)","(149,771)","(665,322)"
93,지배기업 소유주에게 귀속될 당기순이익(손실),nan000000,nan000000,nan000000,3479444,"(983,923)",864498
94,비지배지분,nan000000,nan000000,nan000000,nan,nan,nan
95,계속영업이익(손실),nan000000,nan000000,nan000000,"(21,153)","(43,323)","(42,721)"
96,중단영업이익(손실),nan000000,nan000000,nan000000,"(121,227)","(31,341)","(105,403)"
97,비지배지분에 귀속될 당기순이익(손실),nan000000,nan000000,nan000000,"(142,380)","(74,664)","(148,124)"
98,총포괄손익의 귀속,nan000000,nan000000,nan000000,nan,nan,nan
99,지배기업 소유주지분,nan000000,nan000000,nan000000,3467848,"(966,869)",886978
100,비지배지분,nan000000,nan000000,nan000000,"(166,668)","(44,481)","(104,793)"
101,주당이익,nan000000,nan000000,nan000000,nan,nan,nan
102,주당순손익(원),nan000000,nan000000,nan000000,4778,"(1,271)",1334
103,희석주당순손익(원),nan000000,nan000000,nan000000,4778,"(1,271)",1334
104,영업활동으로 인한 현금흐름,nan000000,nan000000,nan000000,"(89,934)","(29,866)","(1,396,552)"
105,영업활동에서 창출된 현금흐름,nan000000,nan000000,nan000000,"(95,683)","(31,304)","(1,393,137)"
106,이자의 수취,nan000000,nan000000,nan000000,2335,527,4837
107,배당금의 수취,nan000000,nan000000,nan000000,14,84,nan
108,법인세의 납부,nan000000,nan000000,nan000000,3400,827,"(8,252)"
109,투자활동으로 인한 현금흐름,nan000000,nan000000,nan000000,63899,"(149,738)","(121,815)"
110,기타금융자산의 감소,nan000000,nan000000,nan000000,6237,10020,3000
111,매도가능금융자산의 처분,nan000000,nan000000,nan000000,265,33,30769
112,기타수취채권의 감소,nan000000,nan000000,nan000000,3469,3368,21835
113,유형자산의 처분,nan000000,nan000000,nan000000,50254,876,1160
114,무형자산의 처분,nan000000,nan000000,nan000000,793,945,1585
115,매각예정비유동자산의 처분,nan000000,nan000000,nan000000,20190,374,11060
116,기타금융자산의 증가,nan000000,nan000000,nan000000,"(1,536)","(1,577)",(60)
117,매도가능금융자산의 취득,nan000000,nan000000,nan000000,0,"(5,030)","(46,703)"
118,기타수취채권의 증가,nan000000,nan000000,nan000000,"(1,651)","(3,743)","(49,562)"
119,기타투자자산의 증가,nan000000,nan000000,nan000000,22,(71),(64)
120,유형자산의 취득,nan000000,nan000000,nan000000,"(14,286)","(127,176)","(91,155)"
121,무형자산의 취득,nan000000,nan000000,nan000000,142,"(27,757)","(3,680)"
122,재무활동으로 인한 현금흐름,nan000000,nan000000,nan000000,45425,267120,1407961
123,단기차입금의 차입,nan000000,nan000000,nan000000,201320,405777,420970
