,과 목,주 석,제 15(당)기,제 14(전)기,주석
46,II. 영업비용,nan0,"(4,972,148,270,058)0","(4,275,971,930,069)0",nan
47,1. 수수료비용,"26, 38, 440","(119,050,307,297)0","(99,937,553,394)0",nan
48,2. 이자비용,"27, 440","(293,324,559,569)0","(267,683,175,108)0",nan
49,3. 금융자산(부채)평가및처분손실,"29, 440","(3,607,804,377,764)0","(3,201,996,682,147)0",nan
50,4. 외환거래손실,nan0,"(267,381,292,816)0","(78,787,624,695)0",nan
51,5. 판매비와관리비,"31, 38, 440","(636,147,200,198)0","(617,520,592,440)0",nan
52,6. 기타영업비용,300,"(48,440,532,414)0","(10,046,302,285)0",nan
53,III. 영업이익,nan0,3618815477480,3845291096570,nan
54,IV. 영업외수익,"32, 380",229812643290,501728663420,nan
55,V. 영업외비용,320,"(18,541,334,707)0","(17,496,031,443)0",nan
56,VI. 법인세비용차감전순이익,nan0,3663214773700,4172059445560,nan
57,VII. 법인세비용,240,"(95,182,859,672)0","(92,857,430,478)0",nan
58,VIII. 당기순이익,nan0,2711386176980,3243485140780,nan
59,IX. 기타포괄손익,330,"(13,439,470,138)0",271247691340,nan
60,1. 후속적으로 당기손익으로 재분류 될 수 있는 포괄손익,nan0,"(13,010,211,394)0",300961158990,nan
61,(1) 매도가능금융상품평가손익,nan0,"(13,462,085,149)0",30040599530,nan
62,(2) 지분법자본변동,nan0,"(6,121,153,195)0",62945356090,nan
63,(3) 외환차이,nan0,71936153080,207975203370,nan
64,(4) 위험회피파생상품평가손익,nan0,"(620,588,358)0",-0,nan
65,2. 후속적으로 당기손익으로 재분류 될 수 없는 포괄손익,nan0,"(429,258,744)0","(2,971,346,765)0",nan
66,(1) 확정급여부채 재측정요소,nan0,"(429,258,744)0","(2,971,346,765)0",nan
67,X. 총포괄이익,nan0,2576991475600,3514732832120,nan
68,1. 당기순이익의 귀속,nan0,2711386176980,3243485140780,nan
69,(1) 지배기업주주지분순이익,nan0,2797187214620,3243010591430,nan
70,(2) 비지배지분순손익,nan0,"(8,580,103,764)0",474549350,nan
71,2. 총포괄이익의 귀속,nan0,2576991475600,3514732832120,nan
72,(1) 지배기업주주지분총포괄이익,nan0,2663684571810,3514197329280,nan
73,(2) 비지배지분총포괄이익,nan0,"(8,669,309,621)0",535502840,nan
74,XI. 주당이익,nan0,nan0,nan0,nan
75,1. 기본 및 희석주당이익,nan0,nan0,nan0,nan
76,(1) 보통주,340,47840,55470,nan
77,(2) 1종 종류주식,340,48460,56090,nan
78,I. 영업활동으로 인한 현금흐름,nan0,"(25,533,019,194)0",321422104590,nan
79,1. 당기순이익,nan0,2711386176980,3243485140780,nan
80,2. 손익조정사항,nan0,"(106,180,168,590)0","(286,591,937,030)0",35
81,3. 영업활동으로 인한 자산부채의 증감,nan0,"(560,434,701,622)0","(427,228,471,393)0",35
82,4. 이자수취,nan0,7395996223100,6921469477190,nan
83,5. 이자지급,nan0,"(305,407,528,636)0","(245,739,135,080)0",nan
84,6. 배당금수취,nan0,356965031300,212268324900,nan
85,7. 법인세 납부액,nan0,"(99,945,363,484)0","(46,020,540,325)0",nan
86,II. 투자활동으로 인한 현금흐름,nan0,"(2,142,085,622,719)0","(1,145,861,179,112)0",nan
87,1. 매도가능금융자산의 취득,nan0,"(4,177,809,700,981)0","(1,348,816,450,565)0",nan
88,2. 매도가능금융자산의 처분,nan0,21608905247440,2300981797030,nan
89,3. 관계기업투자의 취득,nan0,"(117,892,347,081)0","(81,169,773,038)0",8
90,4. 관계기업투자의 처분,nan0,325901977740,192188366960,"8, 32"
91,5. 유형자산의 취득,nan0,"(20,006,111,562)0","(17,761,724,905)0",10
92,6. 유형자산의 처분,nan0,35198403710,46625300460,"10, 32"
93,7. 무형자산의 취득,nan0,"(14,278,122,279)0","(7,962,122,450)0",11
94,8. 무형자산의 처분,nan0,10888177600,17078825960,"11, 32"
95,9. 투자부동산의 처분,nan0,57181039630,26073941380,"12, 32"
96,10. 대여금의 증감,nan0,"(3,316,340,235)0",419546928300,nan
97,11. 종속기업의 취득,nan0,"(14,059,957,304)0",-0,nan
98,12. 보증금의 감소,nan0,47783616280,95993758370,nan
99,13. 기타자산의 증감,nan0,"(3,308,889,517)0",-0,nan
100,III. 재무활동으로 인한 현금흐름,nan0,21086159245570,11282310897520,nan
101,1. 차입부채의 증감,nan0,20711029559360,11750927180200,nan
102,2. 배당금의 지급,nan0,"(58,737,349,757)0","(41,225,716,864)0",nan
103,3. 비지배주주지분(부채)의 증감,nan0,962503183780,"(5,635,911,404)0",nan
104,IV. 현금및현금성자산의 환율변동효과,nan0,16655199440,6325657040,nan
105,V. 현금및현금성자산 증가(감소) (= I + II + III + IV),nan0,"(57,337,197,412)0",151446868030,nan
106,VI. 기초 현금및현금성자산,nan0,6999236944520,6847790076490,"4, 35"
107,VII. 기말 현금및현금성자산,nan0,6425864970400,6999236944520,"4, 35"
